word,root,rule,base
ataboroaka,taboroaka,a~,taboroaka
adifika,difika,a~,difika
akotretrika,kotretrika,a~,kotretrika
atabotetaka,tabotetaka,a~,tabotetaka
adifotra,difotra,a~,difotra
akotrifana,kotrifana,a~,kotrifana
atafy,tafy,a~,tafy
adika,dika,a~,dika
akotrika,kotrika,a~,kotrika
atafike,tafike,a~,tafike
adilana,dilana,a~,dilana
akotringa,kotringa,a~,kotringa
atafitafy,tafitafy,a~,tafitafy
adilotra,dilotra,a~,dilotra
akotroka,kotroka,a~,kotroka
atafo,tafo,a~,tafo
adimby,dimby,a~,dimby
akotrokotroka,kotroka,a~,kotrokotroka
ataha,taha,a~,taha
adingana,dingana,a~,dingana
akotsa,kotsa,a~,kotsa
atahy,tahy,a~,tahy
adingidingy,dingidingy,a~,dingidingy
akotsaba,kotsaba,a~,kotsaba
atailana,tailana,a~,tailana
adingina,dingina,a~,dingina
akotsetsa,kotsetsa,a~,kotsetsa
ataina,taina,a~,taina
adiridiry,diry,a~,diridiry
akotsokotsoka,kotsokotsoka,a~,kotsokotsoka
ataingina,taingina,a~,taingina
adiso,diso,a~,diso
akotsovoke,kotsovoke,a~,kotsovoke
ataitra,taitra,a~,taitra
adisoke,disoke,a~,disoke
akovavake,kovavake,a~,kovavake
ataiza,taiza,a~,taiza
adity,dity,a~,dity
akovavy,kovavy,a~,kovavy
atakalo,takalo,a~,takalo
aditsika,ditsika,a~,ditsika
akovilavila,vilavila,a~,kovilavila
atakarina,takarina,a~,takarina
adizidizy,dizidizy,a~,dizidizy
akovotsake,kovotsake,a~,kovotsake
atakatra,takatra,a~,takatra
adizina,dizina,a~,dizina
ala,la,a~,la
ataky,taky,a~,taky
adobebaka,dobebaka,a~,dobebaka
alafatra,lafatra,a~,lafatra
atakibaka,takibaka,a~,takibaka
adobibika,dobibika,a~,dobibika
alafy,lafy,a~,lafy
atakiboka,takiboka,a~,takiboka
adoboka,doboka,a~,doboka
alafika,lafika,a~,lafika
atakiky,takiky,a~,takiky
adoboke,doboke,a~,doboke
alafike,lafike,a~,lafike
atakila,takila,a~,takila
adodadoda,dodadoda,a~,dodadoda
alahadahatra,lahatra,a~,lahadahatra
atakitsoka,takitsoka,a~,takitsoka
adodo,dodo,a~,dodo
alahatra,lahatra,a~,lahatra
atakizina,takizina,a~,takizina
adodododo,dodododo,a~,dodododo
alahatse,lahatse,a~,lahatse
atako,tako,a~,tako
adofaka,dofaka,a~,dofaka
alaika,laika,a~,laika
atakobaka,takobaka,a~,takobaka
adofitra,dofitra,a~,dofitra
alaka,laka,a~,laka
atakoboka,takoboka,a~,takoboka
adofotse,dofotse,a~,dofotse
alalaka,lalaka,a~,lalaka
atakoditra,takoditra,a~,takoditra
adogaga,dogaga,a~,dogaga
alalatra,lalatra,a~,lalatra
atakoko,takoko,a~,takoko
adohaka,dohaka,a~,dohaka
alalina,lalina,a~,lalina
atakolaka,takolaka,a~,takolaka
adola,dola,a~,dola
alalotra,lalotra,a~,lalotra
atakona,takona,a~,takona
adoladola,doladola,a~,doladola
alamadamaka,lamaka,a~,lamadamaka
atakosina,takosina,a~,takosina
adomo,domo,a~,domo
alamaka,lamaka,a~,lamaka
atakotra,takotra,a~,takotra
adona,dona,a~,dona
alamake,lamake,a~,lamake
atakotroka,takotroka,a~,takotroka
